epoch,accuracy,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.17615999281406403,3.501929998397827,0.33395999670028687,0.1446000039577484,3.708939790725708,0.296999990940094
1,0.3200399875640869,2.654728412628174,0.5340200066566467,0.3314000070095062,2.5867066383361816,0.5526000261306763
2,0.4040200114250183,2.243647575378418,0.6317999958992004,0.3659000098705292,2.470524311065674,0.5794000029563904
3,0.46522000432014465,1.9812060594558716,0.6890599727630615,0.3986000120639801,2.305814027786255,0.6180999875068665
4,0.5095400214195251,1.7922465801239014,0.7303799986839294,0.4043999910354614,2.3220767974853516,0.6179999709129333
5,0.5474200248718262,1.62986421585083,0.7637400031089783,0.43549999594688416,2.1334826946258545,0.6567000150680542
6,0.5831199884414673,1.4914604425430298,0.7936800122261047,0.43309998512268066,2.228879928588867,0.6456999778747559
7,0.6107400059700012,1.376215934753418,0.8151199817657471,0.4494999945163727,2.1398210525512695,0.6686000227928162
8,0.6407399773597717,1.2635518312454224,0.8367400169372559,0.4262000024318695,2.3476853370666504,0.6434000134468079
9,0.665440022945404,1.1660019159317017,0.8558200001716614,0.4431000053882599,2.2646121978759766,0.6586999893188477
10,0.6905400156974792,1.068324089050293,0.8743199706077576,0.4413999915122986,2.321441173553467,0.6552000045776367
11,0.7140200138092041,0.9844227433204651,0.8898400068283081,0.44850000739097595,2.2962520122528076,0.6664999723434448
12,0.737339973449707,0.9013481736183167,0.9038400053977966,0.44530001282691956,2.3585031032562256,0.6633999943733215
13,0.7568600177764893,0.8213981986045837,0.9184399843215942,0.44839999079704285,2.4444358348846436,0.6585999727249146
14,0.7771599888801575,0.7531730532646179,0.9304400086402893,0.45100000500679016,2.4664056301116943,0.6625999808311462
15,0.8002200126647949,0.6835354566574097,0.9397600293159485,0.43320000171661377,2.684429407119751,0.6484000086784363
16,0.817300021648407,0.621195375919342,0.9503800272941589,0.4237000048160553,2.918955087661743,0.6312000155448914
17,0.8345199823379517,0.5673992037773132,0.9576799869537354,0.4203999936580658,2.9249672889709473,0.6380000114440918
18,0.8482000231742859,0.5172154307365417,0.9648200273513794,0.4092999994754791,3.1236870288848877,0.6220999956130981
19,0.8649799823760986,0.46398091316223145,0.9713000059127808,0.4203999936580658,3.0944201946258545,0.632099986076355
